gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
TNFAIP8L1	19	FALSE	99.9351563015017	-0.162152823449359	0.138778134223153	-1.16843207582413	0.242632522846451	FALSE	FALSE	Female higher
NHP2P1	10	FALSE	385.125984614975	0.221586420456559	0.189656017638503	1.16835955545011	0.242661761798652	FALSE	FALSE	Male higher
FARSB	2	FALSE	823.046400539276	0.0766449478422334	0.0656042427371386	1.16829254701304	0.242688780636054	FALSE	FALSE	Male higher
SH2B3	12	FALSE	1043.68905718786	-0.128723104084568	0.110231663533388	-1.16775071661311	0.24290733273448	FALSE	FALSE	Female higher
CYP3A5	7	FALSE	208.473356666484	-0.399660644427303	0.342281570439585	-1.16763705365155	0.24295319724995	FALSE	FALSE	Female higher
POLRMTP1	17	FALSE	993.958549016982	-0.0861741723675952	0.0738105998136082	-1.16750402496672	0.243006883823643	FALSE	FALSE	Female higher
GATB	4	FALSE	749.531138905416	0.0761298604870509	0.0652174044986711	1.16732429130328	0.243079432435611	FALSE	FALSE	Male higher
ENAH	1	FALSE	3853.07207336293	0.192161187588875	0.164626661152149	1.16725435749	0.243107664990315	FALSE	FALSE	Male higher
CASP7	10	FALSE	536.917308220289	0.0853301449464007	0.0731222817423309	1.16695134387474	0.243230019403089	FALSE	FALSE	Male higher
ETV4	17	FALSE	280.118808458643	-0.253828275370565	0.217523509517363	-1.16690042347034	0.243250584891561	FALSE	FALSE	Female higher
PSME2P6	10	FALSE	89.0069786027496	0.144609765402724	0.123945155980866	1.16672381633897	0.243321921601092	FALSE	FALSE	Male higher
CHD1L	1	FALSE	128.590961194419	0.110933447267439	0.0950878085886272	1.1666421691067	0.243354906240017	FALSE	FALSE	Male higher
IMPDH1	7	FALSE	707.665134316324	-0.129743350289393	0.111217720598839	-1.16657084492295	0.24338372304517	FALSE	FALSE	Female higher
CASP6	4	FALSE	188.268192751101	0.157244737491555	0.134794238782138	1.16655384467657	0.243390591935933	FALSE	FALSE	Male higher
RPS28	19	FALSE	240.459023561299	0.240998095819152	0.206605047227127	1.16646761080438	0.243425436531839	FALSE	FALSE	Male higher
CATSPER2	15	FALSE	295.924935302402	-0.162085319528435	0.139019154559448	-1.16592076855944	0.243646481148871	FALSE	FALSE	Female higher
TCEAL8	X	TRUE	902.890738662163	0.103155468014138	0.0884756004171423	1.16591995451608	0.243646810306625	FALSE	FALSE	Male higher
C19orf53	19	FALSE	341.422076229475	0.141725940586678	0.121586888806998	1.1656350612906	0.243762025832483	FALSE	FALSE	Male higher
ZDHHC11	5	FALSE	161.316954490223	-0.292068496758205	0.250569232980927	-1.16561994975831	0.243768138254438	FALSE	FALSE	Female higher
CR1L	1	FALSE	167.588884515022	0.416847040902953	0.357674092430705	1.16543817325464	0.243841672967542	FALSE	FALSE	Male higher
ATP7A	X	TRUE	674.535760761277	0.152996604310953	0.131279401597724	1.16542734388581	0.243846054303408	FALSE	FALSE	Male higher
MRPS27	5	FALSE	816.69611376422	0.099474265899001	0.0853563807500015	1.16539929440482	0.243857402793162	FALSE	FALSE	Male higher
CYB5B	16	FALSE	859.431952268393	0.137889948648508	0.118321257741555	1.16538609612903	0.243862742788498	FALSE	FALSE	Male higher
YAF2	12	FALSE	394.542639425552	-0.112358021170448	0.0964273526970561	-1.16520902034344	0.24393439523195	FALSE	FALSE	Female higher
ANAPC7	12	FALSE	849.214394857784	-0.0976476259446974	0.0838064917322821	-1.16515587189392	0.243955904254782	FALSE	FALSE	Female higher
RPS6KA3	X	TRUE	843.117329109542	0.136436899477651	0.117112870961303	1.16500345656058	0.244017593683729	FALSE	FALSE	Male higher
STXBP2	19	FALSE	2713.43190221847	-0.135605753596088	0.116401710759225	-1.16498076112116	0.244026780499041	FALSE	FALSE	Female higher
DMAC2L	14	FALSE	267.331284403289	0.104105193700143	0.0893688498818046	1.16489351533368	0.24406209870775	FALSE	FALSE	Male higher
ALCAM	3	FALSE	757.342391693741	0.200845901803631	0.172434557507118	1.1647659535725	0.244113743798423	FALSE	FALSE	Male higher
ALAS1	3	FALSE	3060.39544307837	0.134229732717885	0.115254561674451	1.16463705008944	0.244165939898681	FALSE	FALSE	Male higher
ME2P1	9	FALSE	341.452976069181	0.167346858085525	0.143802888070315	1.16372390242745	0.244535919609795	FALSE	FALSE	Male higher
RPL7P57	X	TRUE	58.189637347652	0.188773491725306	0.162299085786344	1.16312110330562	0.244780371055363	FALSE	FALSE	Male higher
SP3P	13	FALSE	565.358566705106	0.117192747493815	0.100768517117535	1.16298970001835	0.244833681423531	FALSE	FALSE	Male higher
UCHL1	4	FALSE	226.133785761429	0.354671217587256	0.304980666601288	1.16293016714706	0.244857836615913	FALSE	FALSE	Male higher
ADAMTS7P3	15	FALSE	624.992646428009	-0.339666528080841	0.292083864944074	-1.16290753734677	0.244867018993369	FALSE	FALSE	Female higher
ZNF595	4	FALSE	488.467387344615	-0.119281456141997	0.102577131707447	-1.16284647617357	0.244891796676694	FALSE	FALSE	Female higher
