gene	present_in_deposited_matrix	retained_filterByExpr	removal_reason
ANKLE1	TRUE	TRUE	retained
ANKLE2	TRUE	TRUE	retained
ANKMY1	TRUE	TRUE	retained
ANKMY2	TRUE	TRUE	retained
ANKRA2	TRUE	TRUE	retained
ANKRD10	TRUE	TRUE	retained
ANKRD11	TRUE	TRUE	retained
ANKRD11P2	TRUE	TRUE	retained
ANKRD12	TRUE	TRUE	retained
ANKRD13A	TRUE	TRUE	retained
ANKRD13B	TRUE	TRUE	retained
ANKRD13C	TRUE	TRUE	retained
ANKRD13D	TRUE	TRUE	retained
ANKRD16	TRUE	TRUE	retained
ANKRD17	TRUE	TRUE	retained
ANKRD18A	TRUE	TRUE	retained
ANKRD20A1	TRUE	TRUE	retained
ANKRD20A4P	TRUE	TRUE	retained
ANKRD20A5P	TRUE	TRUE	retained
ANKRD24	TRUE	TRUE	retained
ANKRD26	TRUE	TRUE	retained
ANKRD27	TRUE	TRUE	retained
ANKRD28	TRUE	TRUE	retained
ANKRD30A	TRUE	TRUE	retained
ANKRD33	TRUE	TRUE	retained
ANKRD33B	TRUE	TRUE	retained
ANKRD35	TRUE	TRUE	retained
ANKRD36	TRUE	TRUE	retained
ANKRD36B	TRUE	TRUE	retained
ANKRD36BP2	TRUE	TRUE	retained
ANKRD36C	TRUE	TRUE	retained
ANKRD37	TRUE	TRUE	retained
ANKRD39	TRUE	TRUE	retained
ANKRD40	TRUE	TRUE	retained
ANKRD42	TRUE	TRUE	retained
ANKRD44	TRUE	TRUE	retained
ANKRD46	TRUE	TRUE	retained
ANKRD49	TRUE	TRUE	retained
ANKRD50	TRUE	TRUE	retained
ANKRD52	TRUE	TRUE	retained
ANKRD53	TRUE	TRUE	retained
ANKRD54	TRUE	TRUE	retained
ANKRD55	TRUE	TRUE	retained
ANKRD6	TRUE	TRUE	retained
ANKRD61	TRUE	TRUE	retained
ANKRD65	TRUE	TRUE	retained
ANKRD9	TRUE	TRUE	retained
ANKS1A	TRUE	TRUE	retained
ANKS1B	TRUE	TRUE	retained
ANKS3	TRUE	TRUE	retained
ANKS6	TRUE	TRUE	retained
ANKZF1	TRUE	TRUE	retained
ANLN	TRUE	TRUE	retained
ANO1	TRUE	TRUE	retained
ANO10	TRUE	TRUE	retained
ANO2	TRUE	TRUE	retained
ANO6	TRUE	TRUE	retained
ANO7	TRUE	TRUE	retained
ANO8	TRUE	TRUE	retained
ANO9	TRUE	TRUE	retained
ANOS1	TRUE	TRUE	retained
ANP32A	TRUE	TRUE	retained
ANP32AP1	TRUE	TRUE	retained
ANP32B	TRUE	TRUE	retained
ANP32BP1	TRUE	TRUE	retained
ANP32BP3	TRUE	TRUE	retained
ANP32C	TRUE	TRUE	retained
ANP32D	TRUE	TRUE	retained
ANP32E	TRUE	TRUE	retained
ANPEP	TRUE	TRUE	retained
ANTKMT	TRUE	TRUE	retained
ANTXR1	TRUE	TRUE	retained
ANTXR2	TRUE	TRUE	retained
ANXA1	TRUE	TRUE	retained
ANXA11	TRUE	TRUE	retained
